Card Name
Yurlok of Scorch Thrash
Gnostro Voice of the Crags
Mana Confluence
Dusk // Dawn
Approach of the Second Sun
Portent
Drown in Sorrow
Cascading Cataracts
Leonin Lightscribe
Nils Discipline Enforcer
Strict Proctor
Scholarship Sponsor
Sparring Regimen
Combat Calligrapher
Semester's End
Guardian Archon
Devastating Mastery
Elite Spellbinder
Promise of Loyalty
Excavation Technique
Losheel Clockwork Scholar
Digsite Engineer
Angel of the Ruins
Bronze Guardian
Monologue Tax
Archaeomancer's Map
Academic Probation
Mavinda Students' Advocate
Dream Strix
Archmage Emeritus
Multiple Choice
Tempted by the Oriq
Ingenious Mastery
Octavia Living Thesis
Sly Instigator
Dazzling Sphinx
Muse Vortex
Inspiring Refrain
Replication Technique
Teachings of the Archaics
Deekah Fractal Theorist
Spawning Kraken
Curiosity Crafter
Commander's Insight
Perplexing Test
Theoretical Duplication
Oriq Loremage
Fain the Broker
Sedgemoor Witch
Keen Duelist
Callous Bloodmage
Bold Plagiarist
Poet's Quill
Author of Shadows
Baleful Mastery
Stinging Study
Cunning Rhetoric
Confront the Past
Tivash Gloom Summoner
Marshland Bloodcaster
Veinwitch Coven
Blight Mound
Incarnation Technique
Essence Pulse
Professor Onyx5
Conspiracy Theorist
Efreet Flamepainter
Retriever Phoenix
Fervent Mastery
Draconic Intervention
Rionya Fire Dancer
Radiant Performer
Inferno Project
Fiery Encore
Surge to Victory
Rousing Refrain
Laelia the Blade Reforged
Ruin Grinder
Audacious Reshapers
Battlemage's Bracers
Cursed Mirror
Creative Technique
Illuminate History
Crackle with Power
Dragonsguard Elite
Accomplished Alchemist
Gnarled Professor
Exponential Growth
Verdant Mastery
Basic Conjuration
Yedora Grave Gardener
Blossoming Bogbeast
Ezzaroot Channeler
Sproutback Trudge
Pest Infestation
Trudge Garden
Ruxa Patient Professor
Guardian Augmenter
Healing Technique
Paradox Zone
Sequence Engine
Fractal Harness
Ecological Appreciation
Fracture
Mortality Spear
Decisive Denial
Expressive Iteration
Rip Apart
Silverquill Silencer
Inkshield
Vanishing Verse
Silverquill Command
Dramatic Finale
Daemogoth Titan
Witherbloom Command
Rushed Rebirth
Culling Ritual
Manifestation Sage
Double Major
Quandrix Command
Culmination of Studies
Reinterpret
Elemental Expressionist
Prismari Command
Venerable Warsinger
Blade Historian
Radiant Scrollwielder
Lorehold Command
Wake the Past
Revival Experiment
Oversimplify
Selfless Glyphweaver // Deadly Vanity
Shaile Dean of Radiance // Embrose Dean of Shadow
Pestilent Cauldron // Restorative Burst
Valentin Dean of the Vein // Lisette Dean of the Root
Augmenter Pugilist // Echoing Equation
Kianne Dean of Substance // Imbraham Dean of Theory
Torrent Sculptor // Flamethrower Sonata
Uvilda Dean of Perfection // Nassari Dean of Expression
Flamescroll Celebrant // Revel in Silence
Plargg Dean of Chaos // Augusta Dean of Order
Breena the Demagogue
Blot Out the Sky
Felisa Fang of Silverquill
Harness Infinity
Kasmina Enigma Sage2
Body of Research
Magma Opus
Hofri Ghostforge
Zaffai Thunder Conductor
Veyran Voice of Duality
Osgir the Reconstructor
Alibou Ancient Witness
Willowdusk Essence Seer
Gyome Master Chef
Adrix and Nev Twincasters
Extus Oriq Overlord // Awaken the Blood Avatar
Esix Fractal Bloom
Blex Vexing Pest // Search for Blex
Jadzi Oracle of Arcavios // Journey to the Oracle
Rowan Scholar of Sparks // Will Scholar of Frost2
Mila Crafty Companion // Lukka Wayward Bonder
Shadrix Silverquill
Beledros Witherbloom
Tanazir Quandrix
Galazeth Prismari
Velomachus Lorehold
Strixhaven Stadium
Tempting Contract
Codie Vociferous Codex
Elementalist's Palette
Triplicate Titan
Geometric Nexus
Wandering Archaic // Explore the Vastlands
Mascot Exhibition
Shineshadow Snarl
Frostboil Snarl
Necroblossom Snarl
Furycalm Snarl
Vineglimmer Snarl
Hall of Oracles
The Biblioplex
Witch's Clinic
Solitude
Ranger-Captain of Eos
Sanctum Prelate
Giver of Runes
Sisay Weatherlight Captain
Sanctifier en-Vec
Timeless Dragon
Resurgent Belief
Out of Time
Ephemerate
King of the Pride
Subtlety
Urza Lord High Artificer
Svyelun of Sea and Sky
Archmage's Charm
Rishadan Dockhand
Force of Negation
Inevitable Betrayal
Suspend
Faerie Seer
Tribute Mage
Grief
Tourach Dread Cantor
Dauthi Voidwalker
Plague Engineer
Necrogoyf
Profane Tutor
Unmarked Grave
Damn
Changeling Outcast
Defile
Undead Augur
Ragavan Nimble Pilferer
Fury
Imperial Recruiter
Goblin Engineer
Bloodbraid Marauder
Breya's Apprentice
Chef's Kiss
Glimpse of Tomorrow
Calibrated Blast
Magmatic Sinkhole
Shenanigans
Endurance
Chatterfang Squirrel General
Thrasta Tempest's Roar
Titania Protector of Argoth
Ayula Queen Among Bears
Deep Forest Hermit
Sanctum Weaver
Force of Vigor
Aeve Progenitor Ooze
Gaea's Will
Chitterspitter
Llanowar Tribe
Scale Up
Weather the Storm
Dakkon Shadow Slayer0
The First Sliver
Grist the Hunger Tide3
Geyadrone Dihada4
Ice-Fang Coatl
Master of Death
Asmoranomardicadaistinaculdacar
Territorial Kavu
Yusri Fortune's Flame
Carth the Lion
Piru the Volatile
Vindicate
Ingenious Infiltrator
Lavabelly Sliver
Soulherder
Etchings of the Chosen
Scion of Draco
Sword of Sinew and Steel
Sword of Hearth and Home
Sword of Truth and Justice
Zabaz the Glimmerwasp
Diamond Lion
Academy Manufactor
Sol Talisman
Void Mirror
Nettlecyst
Universal Automaton
Talisman of Conviction
Talisman of Creativity
Talisman of Curiosity
Talisman of Hierarchy
Talisman of Resilience
Cabal Coffers
Hall of Heliod's Generosity
Marsh Flats
Prismatic Vista
Scalding Tarn
Verdant Catacombs
Arid Mesa
Misty Rainforest
Yavimaya Cradle of Growth
Mishra's Factory
Demilich
Grand Master of Flowers3
Icingdeath Frost Tyrant
The Book of Exalted Deeds
Flumph
Loyal Warhound
Guardian of Faith
Dancing Sword
Teleportation Circle
White Dragon
Iymrith Desert Doom
Mordenkainen5
Yuan-Ti Malison
Grazilaxx Illithid Scholar
Wizard's Spellbook
The Blackstaff of Waterdeep
Tasha's Hideous Laughter
True Polymorph
Blue Dragon
Acererak the Archlich
Lolth Spider Queen4
Ebondeath Dracolich
The Book of Vile Darkness
Forsworn Paladin
Asmodeus the Archfiend
Vorpal Sword
Sphere of Annihilation
Black Dragon
Flameskull
Zariel Archduke of Avernus4
Inferno of the Star Mounts
Hobgoblin Bandit Lord
Orb of Dragonkind
Wish
Meteor Swarm
Red Dragon
Ellywick Tumblestrum4
Old Gnawbone
Werewolf Pack Leader
Circle of Dreams Druid
Froghemoth
Instrument of the Bards
Long Rest
Green Dragon
Tiamat
Xanathar Guild Kingpin
Prosper Tome-Bound
Triumphant Adventurer
Orcus Prince of Undeath
Skeletal Swarming
Hurl Through Hell
Adult Gold Dragon
The Deck of Many Things
Treasure Chest
Hand of Vecna
Eye of Vecna
Intrepid Adversary
Sigardian Savior
Avacyn's Memorial
Enduring Angel // Angelic Enforcer
Sungold Sentinel
Stalwart Pathlighter
Sigarda's Splendor
Fateful Absence
Curse of Silence
Vanquish the Horde
Spectral Adversary
Poppet Stitcher // Poppet Factory
Triskaidekaphile
Cleaver Skaab
Patrician Geist
Sludge Monster
Memory Deluge
Drown in Dreams
Grafted Identity
Empty the Laboratory
Curse of Surveillance
Malevolent Hermit // Benevolent Geist
Tainted Adversary
Lord of the Forsaken
The Meathook Massacre
Champion of the Perished
Prowling Geistcatcher
Slaughter Specialist
Crowded Crypt
Bloodline Culling
Curse of the Restless Dead
Mask of Griselbrand
Curse of Leeches // Leeching Lurker
Bloodthirsty Adversary
Moonveil Regent
Sunstreak Phoenix
Falkenrath Pit Fighter
Light Up the Night
Curse of Shaken Faith
Geistflame Reservoir
Burn Down the House
Smoldering Egg // Ashmouth Dragon
Primal Adversary
Consuming Blob
Wrenn and Seven5
Willow Geist
Heronblade Elite
Augur of Autumn
Briarbridge Tracker
Somberwald Beastmaster
Unnatural Growth
Storm the Festival
Teferi Who Slows the Sunset4
Eloise Nephalia Sleuth
Leinore Autumn Sovereign
Arlinn the Pack's Hope // Arlinn the Moon's Fury4
Hallowed Respite
Siphon Insight
Wake to Slaughter
Dire-Strain Rampage
Rite of Harmony
Can't Stay Away
Galvanic Iteration
Ghoulcaller's Harvest
Angelfire Ignition
Croaking Counterpart
Pithing Needle
The Celestus
Hostile Hostel // Creeping Inn
Deserted Beach
Shipwreck Marsh
Haunted Ridge
Rockfall Vale
Overgrown Farmland
Nurturing Peatland
Strionic Resonator
Echo of Eons
Spelltwine
Enter the Infinite
Blast of Genius
Power Artifact
Essence Warden
Light-Paws Emperor's Voice
Kyodai Soul of Kamigawa
Cloudsteel Kirin
Brilliant Restoration
Myojin of Blooming Dawn
Farewell
Organic Extinction
Lion Sash
Release to Memory
March of Otherworldly Light
Swift Reconfiguration
Invoke Justice
The Restoration of Eiganjo // Architect of Restoration
Ao the Dawn Sky
Yoshimaru Ever Faithful
The Wandering Emperor3
Thousand-Faced Shadow
Access Denied
Tameshi Reality Architect
Cyberdrive Awakener
The Reality Chip
Mindlink Mech
Kappa Cannoneer
March of Swirling Mist
Invoke the Winds
Research Thief
Universal Surveillance
Inventive Iteration // Living Breakthrough
Kairi the Swirling Sky
Jin-Gitaxias Progress Tyrant
Tezzeret Betrayer of Flesh4
Hidetsugu Devouring Chaos
Mukotai Soulripper
Ruthless Technomancer
Tatsunari Toad Rider
Soul Transfer
Biting-Palm Ninja
March of Wretched Sorrow
Invoke Despair
Tribute to Horobi // Echo of Death's Wail
Junji the Midnight Sky
Nashi Moon Sage's Scion
Blade of the Oni
Ogre-Head Helm
Lizard Blades
Goro-Goro Disciple of Ryusei
Scrap Welder
Komainu Battle Armor
Thundering Raiju
Myojin of Roaring Blades
March of Reckless Joy
Smoke Spirits' Aid
Invoke Calamity
Fable of the Mirror-Breaker // Reflection of Kiki-Jiki
Atsushi the Blazing Sky
Explosive Singularity
Kami of Transience
Shigeki Jukai Visionary
Spring-Leaf Avenger
Weaver of Harmony
Myojin of Towering Might
March of Burgeoning Life
Invoke the Ancients
Rampant Rejuvenator
Tanuki Transplanter
Teachings of the Kirin // Kirin-Touched Orochi
The Dragon-Kami Reborn // Dragon-Kami's Egg
Kura the Boundless Sky
Go-Shintai of Life's Origin
Kodama of the West Tree
Jugan Defends the Temple // Remnant of the Rising Star
Risona Asari Commander
Satsuki the Living Lore
Kotose the Silent Spider
Greasefang Okiba Boss
Raiyuu Storm's Edge
Hinata Dawn-Crowned
Satoru Umezawa
Isshin Two Heavens as One
Eiganjo Uprising
Chishiro the Shattered Blade
Kotori Pilot Prodigy
Kaito Shizuki3
Shorikai Genesis Engine
Tamiyo Compleated Sage5
Spirit-Sister's Call
Skanos Green Dragon Vassal
Skanos Red Dragon Vassal
Skanos White Dragon Vassal
Wilson Bear Comrade
Hag of Death's Legion
Wilson Ardent Bear
Wilson Fearsome Bear
Wilson Majestic Bear
Wilson Subtle Bear
Wilson Urbane Bear
Boareskyr Tollkeeper
Hag of Inner Weakness
Champions of Tyr
Hag of Mage's Doom
Flaming Fist Duskguard
Hag of Noxious Nightmares
Mace of Disruption
Hag of Scoured Thoughts
Moradin's Disciples
Hag of Syphoned Breath
Patriar's Humiliation
Hag of Twisted Visions
Ranger Squadron
Seatower Imprisonment
Soldiers of the Watch
Sune's Intervention
Sworn to the Legion
Valiant Farewell
Vladimir and Godfrey
Calim Djinn Emperor
Hypnotic Pattern
Lizardfolk Librarians
Seek New Knowledge
Signature Spells
Snowborn Simulacra
Thayan Evokers
Undersimplify
Water Weird
Wizened Githzerai
Grave Choice
Hook Horror
The Hourglass Coven
Mind Spike
Sewer Plague
Stroke of Luck
Chaos Balor
Craving of Yeenoghu
Dragonborn Immolator
Flames of Moradin
Genasi Rabble-Rouser
Giant Fire Beetles
Gnoll Hunting Party
Goblin Trapfinder
Incessant Provocation
Kardum Patron of Flames
Kobold Warcaller
Mephit's Enthusiasm
Tiefling Outcasts
Unexpected Allies
Uthgardt Fury
Warriors of Tiamat
Arcane Archery
Favored Enemy
Follow the Tracks
Oyaminartok Polar Werebear
Verdant Rejuvenation
You Line Up the Shot
Yuan-Ti Scaleshield
Jon Irenicus the Exile
Liara of the Flaming Fist
Minthara of the Absolute
Tasha Unholy Archmage4
Ulder Ravengard Marshal
Gate of the Black Dragon
Gate to Manorborn
Gate to Seatower
Gate to the Citadel
Gate to Tumbledown
Ancient Gold Dragon
Archivist of Oghma
Ascend from Avernus
Blessed Hippogriff // Tyr's Blessing
A-Blessed Hippogriff // A-Tyr's Blessing
Celestial Unicorn
Dawnbringer Cleric
A-Dawnbringer Cleric
Devoted Paladin
Flaming Fist Officer
Guardian Naga // Banishing Coils
Guiding Bolt
Horn of Valhalla // Ysgard's Call
Icewind Stalwart
Lae'zel's Acrobatics
Minimus Containment
Monk of the Open Hand
Pegasus Guardian // Rescue the Foal
Portable Hole
Priest of Ancient Lore
Rally Maneuver
Rescuer Chwinga
Scouting Hawk
Steadfast Paladin
Steadfast Unicorn
A-Steadfast Unicorn
Stick Together
You Hear Something on Watch
You're Ambushed on the Road
You're Confronted by Robbers
Air-Cult Elemental
Ancient Silver Dragon
Blur
Charmed Sleep
Clever Conjurer
Contact Other Plane
Displacer Kitten
Draconic Lore
Dragonborn Looter
A-Dragonborn Looter
Dream Fracture
Gale's Redirection
Goggles of Night
A-Goggles of Night
Guild Thief
Illithid Harvester // Plant Tadpoles
Irenicus's Vile Duplication
Juvenile Mist Dragon
Kenku Artificer
A-Kenku Artificer
Kindred Discovery
Lapis Orb of Dragonkind
A-Lapis Orb of Dragonkind
Pseudodragon Familiar
A-Pseudodragon Familiar
Ray of Frost
Rimeshield Frost Giant
Robe of the Archmagi
Shocking Grasp
Soulknife Spy
Sword Coast Serpent // Capsizing Wave
Tymora's Invoker
You Come to a River
A-You Come to a River
You Find the Villains' Lair
Young Blue Dragon // Sand Augury
A-Young Blue Dragon // A-Sand Augury
Altar of Bhaal // Bone Offering
Ancient Brass Dragon
Armor of Shadows
Baleful Beholder
A-Baleful Beholder
Black Market Connections
Blood Money
Bonecaller Cleric
Chain Devil
Deadly Dispute
Demogorgon's Clutches
Drider
Eldritch Pact
Eyes of the Beholder
A-Eyes of the Beholder
Ghost Lantern // Bind Spirit
Gray Slaad // Entropic Decay
Grim Bounty
Grim Hireling
Grim Wanderer
Guildsworn Prowler
A-Guildsworn Prowler
Hoard Robber
Intellect Devourer
Manticore
A-Manticore
Nefarious Imp
Pact Weapon
Sepulcher Ghoul
A-Sepulcher Ghoul
Shambling Ghast
Sigil of Myrkul
A-Sigil of Myrkul
Skullport Merchant
Summon Undead
Thieves' Tools
Vampire Spawn
Wand of Orcus
Ancient Copper Dragon
Battle Cry Goblin
Breath Weapon
Carnelian Orb of Dragonkind
A-Carnelian Orb of Dragonkind
Dragon's Fire
Dueling Rapier
Earth-Cult Elemental
Farideh's Fireball
Fiendlash
Hobgoblin Captain
Improvised Weaponry
Jaded Sell-Sword
Nalfeshnee
Reckless Barbarian
Storm King's Thunder
Swashbuckler Extraordinaire
Two-Handed Axe // Sweeping Cleave
Unexpected Windfall
Valor Singer
Wrathful Red Dragon
You Come to the Gnoll Camp
You Find Some Prisoners
Young Red Dragon // Bathe in Gold
A-Young Red Dragon // A-Bathe in Gold
Ambitious Dragonborn
Ancient Bronze Dragon
Belt of Giant Strength
Choose Your Weapon
Circle of the Land Druid
A-Circle of the Land Druid
Circle of the Moon Druid
Draconic Muralists
Dread Linnorm // Scale Deflection
Druid of the Emerald Grove
Druidic Ritual
A-Druidic Ritual
Earthquake Dragon
A-Earthquake Dragon
Emerald Dragon // Dissonant Wave
A-Emerald Dragon // A-Dissonant Wave
Ettercap // Web Shot
Gnoll Hunter
Hill Giant Herdgorger
Inspiring Bard
Jade Orb of Dragonkind
A-Jade Orb of Dragonkind
Lurking Roper
Monster Manual // Zoological Study
A-Monster Manual // A-Zoological Study
Owlbear
Owlbear Shepherd
Poison the Blade
Prosperous Innkeeper
Scaled Nurturer
Split the Spoils
A-Split the Spoils
Sylvan Shepherd
Traverse the Outlands
Undercellar Myconid
Underdark Basilisk
Wild Shape
You Meet in a Tavern
Alaundo the Seer
Astarion the Decadent
Baba Lysaga Night Witch
A-Baba Lysaga Night Witch
Catti-brie of Mithral Hall
Gorion Wise Mentor
Jan Jansen Chaos Crafter
Kagha Shadow Archdruid
Kalain Reclusive Painter
Korlessa Scale Singer
Krydle of Baldur's Gate
A-Krydle of Baldur's Gate
Lozhan Dragons' Legacy
Mazzy Truesword Paladin
Miirym Sentinel Wyrm
Minsc & Boo Timeless Heroes3
A-Minsc & Boo Timeless Heroes3
Nalia de'Arnise
Neera Wild Mage
Oji the Exquisite Blade
Raggadragga Goreguts Boss
Raphael Fiendish Savior
Thrakkus the Butcher
Trelasarra Moon Dancer
Bag of Holding
Basilisk Collar
Bronze Walrus
Chardalyn Dragon
Cloak of the Bat
Fraying Line
Iron Golem
Lantern of Revealing
A-Lantern of Revealing
Meteor Golem
Mirror of Life Trapping
Navigation Orb
A-Navigation Orb
Pilgrim's Eye
Spiked Pit Trap
Baldur's Gate
Junk Winder
Moat Piranhas
Mystic Skyfish
Nezahal Primal Tide
Riptide Turtle
Sigiled Starfish
Spined Megalodon
Stinging Lionfish
Plummet
Fruitcake Elemental
Gifts Given
Evil Presents
Season's Beatings
Snow Mercy
Yule Ooze
Naughty // Nice
Stocking Tiger
Mishra's Toy Workshop
Goblin Sleigh Ride
Thopter Pie Network
Some Disassembly Required
Bog Humbugs
Decorated Knight // Present Arms
Topdeck the Halls
Last-Minute Chopping
Chaos Wrap
Abbey Gargoyles
Abbey Matron
Aysen Bureaucrats
Aysen Crusader
Aysen Highway
Beast Walkers
Death Speakers
Hazduhr the Abbot
Leeches
Mesa Falcon
Prophecy
Rashka the Slayer
Samite Alchemist
Serra Aviary
Serra Bestiary
Serra Inquisitors
Serra Paladin
Soraya the Falconer
Trade Caravan
Truce
Baki's Curse
Chain Stasis
Coral Reef
Dark Maze
Forget
Giant Albatross
Giant Oyster
Jinx
Labyrinth Minotaur
Marjhan
Mystic Decree
Narwhal
Reef Pirates
Reveka Wizard Savant
Sea Sprite
Sea Troll
Wall of Kelp
Baron Sengir
Black Carriage
Broken Visage
Cemetery Gate
Drudge Spell
Dry Spell
Feast of the Unicorn
Funeral March
Ghost Hounds
Grandmother Sengir
Greater Werewolf
Headstone
Ihsan's Shade
Irini Sengir
Koskun Falls
Sengir Autocrat
Sengir Bats
Timmerian Fiends
Torture
Veldrane of Sengir
Aliban's Tower
Ambush
Ambush Party
An-Zerrin Ruins
Anaba Ancestor
Anaba Bodyguard
Anaba Shaman
Anaba Spirit Crafter
Chandler
Dwarven Pony
Dwarven Sea Clan
Dwarven Trader
Eron the Relentless
Evaporate
Heart Wolf
Ironclaw Curse
Joven
Orcish Mine
Retribution
Winter Sky
An-Havva Constable
An-Havva Inn
Autumn Willow
Carapace
Daughter of Autumn
Faerie Noble
Folk of An-Havva
Hungry Mist
Joven's Ferrets
Leaping Lizard
Mammoth Harness
Primal Order
Renewal
Root Spider
Roots
Rysorian Badger
Shrink
Willow Faerie
Willow Priestess
Apocalypse Chime
Clockwork Gnomes
Clockwork Steed
Clockwork Swarm
Didgeridoo
Ebony Rhino
Feroz's Ban
Joven's Tools
Roterothopter
An-Havva Township
Aysen Abbey
Castle Sengir
Koskun Keep
Wizards' School
Congregate
Kor Sanctifiers
Orim's Thunder
Prison Term
Broodstar
Keep Watch
Master of Etherium
Qumulox
Sarcomite Myr
Vedalken Engineer
Whiplash Trap
Ascendant Evincar
Cadaverous Knight
Consume Spirit
Cruel Revival
Dregscape Zombie
Festering Goblin
Grave Pact
Gravedigger
Helldozer
Hideous End
Incremental Blight
Nefashu
Phyrexian Ghoul
Rotting Rats
Shepherd of Rot
Soulless One
Syphon Mind
Undead Warchief
Bogardan Firefiend
Bogardan Rager
Cinder Elemental
Furnace of Rath
Goblin Offensive
Insurrection
Keldon Champion
Menacing Ogre
Rockslide Elemental
Rolling Thunder
Smokebraider
Taurean Mauler
Beast Hunt
Briarhorn
Explosive Vegetation
Fertile Ground
Fertilid
Forgotten Ancient
Ivy Elemental
Living Hive
Search for Tomorrow
Silverglade Elemental
Tornado Elemental
Tribal Unity
Verdant Force
Boros Swiftblade
Branching Bolt
Bull Cerodon
Captain's Maneuver
Cerodon Yearling
Glory of Warfare
Hull Breach
Lightning Helix
Mage Slayer
Razia Boros Archangel
Rumbling Slum
Savage Twister
Sludge Strider
Arsenal Thresher
Balefire Liege
Battlegate Mimic
Boros Guildmage
Double Cleave
Duergar Hedge-Mage
Hearthfire Hobgoblin
Assault // Battery
Order // Chaos
Arcbound Crusher
Arcbound Slith
Bosh Iron Golem
Copper Myr
Darksteel Forge
Door to Nothingness
Etched Oracle
Gold Myr
Iron Myr
Leaden Myr
Lodestone Myr
Loxodon Warhammer
Mask of Memory
Nuisance Engine
Pentavus
Relic of Progenitus
Serum Tank
Silver Myr
Skeleton Shard
Suntouched Myr
Wizard Replica
Boros Garrison
Gruul Turf
Leechridden Swamp
Shivan Oasis
Sunhome Fortress of the Legion
Act of Heroism
Angel of Condemnation
Angel of the God-Pharaoh
Aven of Enduring Hope
Crested Sunmare
Dauntless Aven
Desert's Hold
Disposal Mummy
Djeru With Eyes Open
Djeru's Renunciation
Dutiful Servants
Gideon's Defeat
God-Pharaoh's Faithful
Hour of Revelation
Mummy Paramount
Oketra's Avenger
Oketra's Last Mercy
Overwhelming Splendor
Sandblast
Saving Grace
Solemnity
Solitary Camel
Steadfast Sentinel
Steward of Solidarity
Sunscourge Champion
Unconventional Tactics
Vizier of the True
Aerial Guide
Aven Reedstalker
Champion of Wits
Countervailing Winds
Cunning Survivor
Eternal of Harsh Truths
Fraying Sanity
Hour of Eternity
Imaginary Threats
Jace's Defeat
Kefnet's Last Word
Nimble Obstructionist
Ominous Sphinx
Proven Combatant
Riddleform
Seer of the Last Tomorrow
Sinuous Striker
Spellweaver Eternal
Striped Riverwinder
Supreme Will
Swarm Intelligence
Tragic Lesson
Unesh Criosphinx Sovereign
Unquenchable Thirst
Vizier of the Anointed
Accursed Horde
Ammit Eternal
Apocalypse Demon
Banewhip Punisher
Bontu's Last Reckoning
Carrion Screecher
Doomfall
Dreamstealer
Grisly Survivor
Hour of Glory
Khenra Eternal
Lethal Sting
Liliana's Defeat
Lurching Rotbeast
Marauding Boneslasher
Merciless Eternal
Moaning Wall
Razaketh the Foulblooded
Razaketh's Rite
Ruin Rat
Scrounger of Souls
Torment of Hailfire
Torment of Scarabs
Torment of Venom
Vile Manifestation
Without Weakness
Wretched Camel
Blur of Blades
Burning-Fist Minotaur
Chandra's Defeat
Chaos Maw
Crash Through
Defiant Khenra
Earthshaker Khenra
Fervent Paincaster
Firebrand Archer
Frontline Devastator
Gilded Cerodon
Granitic Titan
Hazoret's Undying Fury
Hour of Devastation
Imminent Doom
Inferno Jet
Khenra Scrapper
Kindled Fury
Magmaroth
Manticore Eternal
Neheb the Eternal
Open Fire
Puncturing Blow
Sand Strangler
Thorned Moloch
Ambuscade
Beneath the Sands
Bitterbow Sharpshooters
Devotee of Strength
Dune Diviner
Feral Prowler
Frilled Sandwalla
Gift of Strength
Harrier Naga
Hope Tender
Hour of Promise
Life Goes On
Majestic Myriarch
Nissa's Defeat
Oasis Ritualist
Overcome
Pride Sovereign
Quarry Beetle
Rampaging Hippo
Ramunap Hydra
Resilient Khenra
Rhonas's Last Stand
Rhonas's Stalwart
Sidewinder Naga
Sifter Wurm
Tenacious Hunter
Uncage the Menagerie
Bloodwater Entity
The Locust God
Nicol Bolas God-Pharaoh7
Obelisk Spider
Resolute Survivors
River Hoopoe
Samut the Tested4
The Scarab God
The Scorpion God
Unraveling Mummy
Farm // Market
Consign // Oblivion
Claim // Fame
Struggle // Survive
Appeal // Authority
Leave // Chance
Reason // Believe
Grind // Dust
Refuse // Cooperate
Driven // Despair
Abandoned Sarcophagus
Crook of Condemnation
Dagger of the Worthy
God-Pharaoh's Gift
Graven Abomination
Hollow One
Manalith
Mirage Mirror
Sunset Pyramid
Traveler's Amulet
Wall of Forgotten Pharaohs
Crypt of the Eternals
Desert of the Fervent
Desert of the Glorified
Desert of the Indomitable
Desert of the Mindful
Desert of the True
Dunes of the Dead
Endless Sands
Hashep Oasis
Hostile Desert
Ifnir Deadlands
Ipnu Rivulet
Ramunap Ruins
Scavenger Grounds
Shefet Dunes
Survivors' Encampment
Nissa Genesis Mage5
Avid Reclaimer
Brambleweft Behemoth
Nissa's Encouragement
Nicol Bolas the Deceiver5
Wasp of the Bitter End
Zealot of the God-Pharaoh
Visage of Bolas
Cinder Barrens
Chandra Gremlin Wrangler3
Dungeon Master1d4+1
Nira Hellkite Duelist
Diabolical Salvation
Inzerva Master of Insights4
M'Odo the Gnarled Oracle
Kharis & The Beholder
Optimus Prime Inspiring Leader
Sol Advocate Eternal
The Legend of Arena
Collectigull // Only the Best
Keeper of the Secret Lair
War of the Spark
Champions of Archery // Join the Group
Myntasha Honored One
The Cinematic Phoenix
Fabled Path of Searo Point
Euroakus
Mountain Mover
The Secret Lair
Adarkar Unicorn
Arctic Foxes
Arenson's Aura
Armor of Faith
Battle Cry
Black Scarab
Blessed Wine
Blinking Spirit
Blue Scarab
Call to Arms
Caribou Range
Cold Snap
Cooperation
Drought
Elvish Healer
Enduring Renewal
Energy Storm
Formation
Fylgja
General Jarkeld
Green Scarab
Hallowed Ground
Heal
Hipparion
Justice
Kelsinko Ranger
Kjeldoran Elite Guard
Kjeldoran Guard
Kjeldoran Knight
Kjeldoran Phalanx
Kjeldoran Royal Guard
Kjeldoran Skycaptain
Kjeldoran Skyknight
Kjeldoran Warrior
Lightning Blow
Lost Order of Jarkeld
Mercenaries
Order of the Sacred Torch
Order of the White Shield
Prismatic Ward
Rally
Red Scarab
Sacred Boon
Seraph
Shield Bearer
Snow Hound
Warning
White Scarab
Arnjlot's Ascent
Balduvian Conjurer
Balduvian Shaman
Binding Grasp
Breath of Dreams
Clairvoyance
Deflection
Dreams of the Dead
Enervate
Errant Minion
Essence Flare
Force Void
Glacial Wall
Iceberg
Icy Prison
Illusionary Forces
Illusionary Presence
Illusionary Terrain
Illusionary Wall
Illusions of Grandeur
Infuse
Magus of the Unseen
Mesmeric Trance
Mistfolk
Musician
Mystic Might
Mystic Remora
Phantasmal Mount
Polar Kraken
Ray of Command
Ray of Erasure
Reality Twist
Sea Spirit
Shyft
Sibilant Spirit
Silver Erne
Snow Devil
Snowfall
Soldevi Machinist
Soul Barrier
Thunder Wall
Updraft
Wind Spirit
Winter's Chill
Word of Undoing
Wrath of Marit Lage
Zur's Weirding
Zuran Enchanter
Zuran Spellcaster
Abyssal Specter
Ashen Ghoul
Brine Shaman
Burnt Offering
Cloak of Confusion
Dance of the Dead
Demonic Consultation
Dread Wight
Drift of the Dead
Flow of Maggots
Foul Familiar
Gangrenous Zombies
Gaze of Pain
Gravebind
Hecatomb
Hoar Shade
Hyalopterous Lemure
Icequake
Infernal Darkness
Infernal Denizen
Kjeldoran Dead
Krovikan Elementalist
Krovikan Fetish
Krovikan Vampire
Legions of Lim-Dûl
Leshrac's Rite
Leshrac's Sigil
Lim-Dûl's Cohort
Lim-Dûl's Hex
Mind Ravel
Mind Whip
Minion of Leshrac
Minion of Tevesh Szat
Mole Worms
Moor Fiend
Norritt
Oath of Lim-Dûl
Pestilence Rats
Pox
Seizures
Songs of the Damned
Soul Burn
Soul Kiss
Spoils of Evil
Spoils of War
Stench of Evil
Stromgald Cabal
Touch of Death
Withering Wisps
Aggression
Anarchy
Avalanche
Balduvian Barbarians
Balduvian Hydra
Barbarian Guides
Battle Frenzy
Bone Shaman
